,train,val,test
BL-14-E14292,True,False,False
BL-14-E15036,True,False,False
BL-14-E16204,True,False,False
BL-14-E17990,True,False,False
BL-14-E18945,True,False,False
BL-14-E20480,True,False,False
BL-14-E21111,True,False,False
BL-14-E22115,True,False,False
BL-14-E22181,True,False,False
BL-14-E23771,True,False,False
BL-14-E24711,True,False,False
BL-14-E32144,True,False,False
BL-14-E35761,True,False,False
BL-14-E37266,True,False,False
BL-14-E37639,True,False,False
BL-14-E37867,True,False,False
BL-14-E37884,True,False,False
BL-14-E40082,True,False,False
BL-14-E43697,True,False,False
BL-14-E43763,True,False,False
BL-14-F03251,True,False,False
BL-14-F05877,True,False,False
BL-14-F06898,True,False,False
BL-14-F07659,True,False,False
BL-14-F07904,True,False,False
BL-14-F09914,True,False,False
BL-14-F11010,True,False,False
BL-14-F19472,True,False,False
BL-14-F21638,True,False,False
BL-14-F21770,True,False,False
BL-14-F21785,True,False,False
BL-14-F22840,True,False,False
BL-14-F26387,True,False,False
BL-14-F30793,True,False,False
BL-14-F34244,True,False,False
BL-14-F34521,True,False,False
BL-14-F36043,True,False,False
BL-14-F38068,True,False,False
BL-14-F42018,True,False,False
BL-14-F42052,True,False,False
BL-14-F42832,True,False,False
BL-14-F42945,True,False,False
BL-14-F43365,True,False,False
BL-14-F45912,True,False,False
BL-14-F47108,True,False,False
BL-14-G04718,True,False,False
BL-14-G05317,True,False,False
BL-14-G05822,True,False,False
BL-14-G08039,True,False,False
BL-14-G09241,True,False,False
BL-14-G10680,True,False,False
BL-14-G12315,True,False,False
BL-14-G13662,True,False,False
BL-14-G14342,True,False,False
BL-14-G15461,True,False,False
BL-14-G17064,True,False,False
BL-14-G20479,True,False,False
BL-14-G21421,True,False,False
BL-14-G25586,True,False,False
BL-14-G28926,True,False,False
BL-14-G29672,True,False,False
BL-14-G33524,True,False,False
BL-14-G36020,True,False,False
BL-14-G36148,True,False,False
BL-14-G36749,True,False,False
BL-14-G47865,True,False,False
BL-14-G48349,True,False,False
BL-14-J00155,True,False,False
BL-14-J00285,True,False,False
BL-14-J06445,True,False,False
BL-14-J07027,True,False,False
BL-14-J07581,True,False,False
BL-14-J07969,True,False,False
BL-14-J08016,True,False,False
BL-14-J08259,True,False,False
BL-14-J26032,True,False,False
BL-14-J27865,True,False,False
BL-14-J31717,True,False,False
BL-14-J32998,True,False,False
BL-14-J37261,True,False,False
BL-14-J40563,True,False,False
BL-14-K00181,True,False,False
BL-14-K04672,True,False,False
BL-14-K07247,True,False,False
BL-14-K08123,True,False,False
BL-14-K09242,True,False,False
BL-14-K15462,True,False,False
BL-14-K17389,True,False,False
BL-14-K18542,True,False,False
BL-14-K25572,True,False,False
BL-14-K29168,True,False,False
BL-14-K42435,True,False,False
BL-14-K48497,True,False,False
BL-14-M02605,True,False,False
BL-14-M04843,True,False,False
BL-14-M05101,True,False,False
BL-14-M05896,True,False,False
BL-14-M08017,True,False,False
BL-14-M14269,True,False,False
BL-14-M19067,True,False,False
BL-14-M19393,True,False,False
BL-14-M22337,True,False,False
BL-14-M25417,True,False,False
BL-14-M26048,True,False,False
BL-14-M31070,True,False,False
BL-14-M32790,True,False,False
BL-14-M38040,True,False,False
BL-14-M40839,True,False,False
BL-14-M43043,True,False,False
BL-14-M44925,True,False,False
BL-14-M46479,True,False,False
BL-14-N05500,True,False,False
BL-14-N05937,True,False,False
BL-14-N06700,True,False,False
BL-14-N07216,True,False,False
BL-14-N09243,True,False,False
BL-14-N10486,True,False,False
BL-14-N10812,True,False,False
BL-14-N13632,True,False,False
BL-14-N15463,True,False,False
BL-14-N18754,True,False,False
BL-14-N20515,True,False,False
BL-14-N20532,True,False,False
BL-14-N20758,True,False,False
BL-14-N27176,True,False,False
BL-14-N29169,True,False,False
BL-14-N31077,True,False,False
BL-14-N36849,True,False,False
BL-14-N38341,True,False,False
BL-14-N40149,True,False,False
BL-14-N40460,True,False,False
BL-14-R01050,True,False,False
BL-14-R02802,True,False,False
BL-14-R06886,True,False,False
BL-14-R08653,True,False,False
BL-14-R09870,True,False,False
BL-14-R17580,True,False,False
BL-14-R19394,True,False,False
BL-14-R20149,True,False,False
BL-14-R20978,True,False,False
BL-14-R23165,True,False,False
BL-14-R26490,True,False,False
BL-14-R28206,True,False,False
BL-14-R29568,True,False,False
BL-14-R30845,True,False,False
BL-14-R33373,True,False,False
BL-14-R34978,True,False,False
BL-14-R34980,True,False,False
BL-14-R37263,True,False,False
BL-14-R44472,True,False,False
BL-14-R46644,True,False,False
BL-14-R47520,True,False,False
BL-14-T00296,True,False,False
BL-14-T01447,True,False,False
BL-14-T03832,True,False,False
BL-14-T03896,True,False,False
BL-14-T06880,True,False,False
BL-14-T10261,True,False,False
BL-14-T12985,True,False,False
BL-14-T13015,True,False,False
BL-14-T15920,True,False,False
BL-14-T17165,True,False,False
BL-14-T18203,True,False,False
BL-14-T20028,True,False,False
BL-14-T21976,True,False,False
BL-14-T24357,True,False,False
BL-14-T25444,True,False,False
BL-14-T34175,True,False,False
BL-14-T35196,True,False,False
BL-14-T40981,True,False,False
BL-14-T41156,True,False,False
BL-14-T43021,True,False,False
BL-14-T45419,True,False,False
BL-14-T46491,True,False,False
BL-14-W04293,True,False,False
BL-14-W06497,True,False,False
BL-14-W08897,True,False,False
BL-14-W09479,True,False,False
BL-14-W16607,True,False,False
BL-14-W17532,True,False,False
BL-14-W20768,True,False,False
BL-14-W24886,True,False,False
BL-14-W31072,True,False,False
BL-14-W31300,True,False,False
BL-14-W32596,True,False,False
BL-14-W33163,True,False,False
BL-14-W34979,True,False,False
BL-14-W37865,True,False,False
BL-14-W39730,True,False,False
BL-14-W39988,True,False,False
BL-14-W42007,True,False,False
BL-14-W42348,True,False,False
BL-14-W44797,True,False,False
BL-14-W44959,True,False,False
BL-14-W44961,True,False,False
BL-14-W47065,True,False,False
BL-14-X00331,True,False,False
BL-14-X03671,True,False,False
BL-14-X09586,True,False,False
BL-14-X12189,True,False,False
BL-14-X14135,True,False,False
BL-14-X16209,True,False,False
BL-14-X17735,True,False,False
BL-14-X19387,True,False,False
BL-14-X22478,True,False,False
BL-14-X23126,True,False,False
BL-14-X25185,True,False,False
BL-14-X26385,True,False,False
BL-14-X30222,True,False,False
BL-14-X38554,True,False,False
BL-14-X41336,True,False,False
BL-14-X42195,True,False,False
BL-14-X42796,True,False,False
BL-14-X45032,True,False,False
BL-14-X45390,True,False,False
BL-15-A04030,True,False,False
BL-15-A07581,True,False,False
BL-15-A07839,True,False,False
BL-15-A08438,True,False,False
BL-15-A10086,True,False,False
BL-15-A10655,True,False,False
BL-15-A12079,True,False,False
BL-15-A14724,True,False,False
BL-15-A16018,True,False,False
BL-15-A19603,True,False,False
BL-15-A20765,True,False,False
BL-15-A20895,True,False,False
BL-15-A24282,True,False,False
BL-15-A26032,True,False,False
BL-15-A33810,True,False,False
BL-15-A35087,True,False,False
BL-15-A35820,True,False,False
BL-15-A38753,True,False,False
BL-15-A41292,True,False,False
BL-15-A42850,True,False,False
BL-15-A46610,True,False,False
BL-15-A47582,True,False,False
BL-15-A48554,True,False,False
BL-15-D07865,True,False,False
BL-15-D09419,True,False,False
BL-15-D09875,True,False,False
BL-15-D09907,True,False,False
BL-15-D11783,True,False,False
BL-15-D15396,True,False,False
BL-15-D17048,True,False,False
BL-15-D26414,True,False,False
BL-15-D29705,True,False,False
BL-15-D32342,True,False,False
BL-15-D34482,True,False,False
BL-15-D34661,True,False,False
BL-15-D35827,True,False,False
BL-15-D37008,True,False,False
BL-15-D37400,True,False,False
BL-15-D40783,True,False,False
BL-15-D41480,True,False,False
BL-15-D41625,True,False,False
BL-15-D42256,True,False,False
BL-15-E00156,True,False,False
BL-15-E06674,True,False,False
BL-15-E08667,True,False,False
BL-15-E10656,True,False,False
BL-15-E11758,True,False,False
BL-15-E15812,True,False,False
BL-15-E18078,True,False,False
BL-15-E19506,True,False,False
BL-15-E30957,True,False,False
BL-15-E32577,True,False,False
BL-15-E33095,True,False,False
BL-15-E35495,True,False,False
BL-15-E35593,True,False,False
BL-15-E35819,True,False,False
BL-15-E37407,True,False,False
BL-15-E38119,True,False,False
BL-15-E41781,True,False,False
BL-15-E42510,True,False,False
BL-15-E42996,True,False,False
BL-15-E44275,True,False,False
BL-15-E44422,True,False,False
BL-15-E44876,True,False,False
BL-15-E45134,True,False,False
BL-15-E45654,True,False,False
BL-15-F05027,True,False,False
BL-15-F06163,True,False,False
BL-15-F06472,True,False,False
BL-15-F07459,True,False,False
BL-15-F09437,True,False,False
BL-15-F14636,True,False,False
BL-15-F15235,True,False,False
BL-15-F15397,True,False,False
BL-15-F15821,True,False,False
BL-15-F17993,True,False,False
BL-15-F24405,True,False,False
BL-15-F27762,True,False,False
BL-15-F28815,True,False,False
BL-15-F31695,True,False,False
BL-15-F32375,True,False,False
BL-15-F32750,True,False,False
BL-15-F37953,True,False,False
BL-15-F39799,True,False,False
BL-15-F40833,True,False,False
BL-15-F41773,True,False,False
BL-15-F43263,True,False,False
BL-15-F47462,True,False,False
BL-15-F47722,True,False,False
BL-15-G02542,True,False,False
BL-15-G03725,True,False,False
BL-15-G09951,True,False,False
BL-15-G10316,True,False,False
BL-15-G13185,True,False,False
BL-15-G13950,True,False,False
BL-15-G16770,True,False,False
BL-15-G23263,True,False,False
BL-15-G24983,True,False,False
BL-15-G28743,True,False,False
BL-15-G28758,True,False,False
BL-15-G33275,True,False,False
BL-15-G35999,True,False,False
BL-15-G36208,True,False,False
BL-15-G37408,True,False,False
BL-15-G41230,True,False,False
BL-15-G41976,True,False,False
BL-15-G44227,True,False,False
BL-15-G44683,True,False,False
BL-15-G45802,True,False,False
BL-15-G47780,True,False,False
BL-15-G47812,True,False,False
BL-15-G48102,True,False,False
BL-15-J01756,True,False,False
BL-15-J03962,True,False,False
BL-15-J08370,True,False,False
BL-15-J12271,True,False,False
BL-15-J12725,True,False,False
BL-15-J15530,True,False,False
BL-15-J21684,True,False,False
BL-15-J27000,True,False,False
BL-15-J27908,True,False,False
BL-15-J27910,True,False,False
BL-15-J30626,True,False,False
BL-15-J32376,True,False,False
BL-15-J34354,True,False,False
BL-15-J35051,True,False,False
BL-15-J35829,True,False,False
BL-15-J41141,True,False,False
BL-15-J41222,True,False,False
BL-15-J42145,True,False,False
BL-15-J43865,True,False,False
BL-15-J44253,True,False,False
BL-15-J45858,True,False,False
BL-15-J45892,True,False,False
BL-15-J46604,True,False,False
BL-15-J46636,True,False,False
BL-15-J48126,True,False,False
BL-15-K01343,True,False,False
BL-15-K02104,True,False,False
BL-15-K04391,True,False,False
BL-15-K05135,True,False,False
BL-15-K06789,True,False,False
BL-15-K09609,True,False,False
BL-15-K11289,True,False,False
BL-15-K12442,True,False,False
BL-15-K12751,True,False,False
BL-15-K12962,True,False,False
BL-15-K17417,True,False,False
BL-15-K18050,True,False,False
BL-15-K18259,True,False,False
BL-15-K18828,True,False,False
BL-15-K20574,True,False,False
BL-15-K20915,True,False,False
BL-15-K21173,True,False,False
BL-15-K21612,True,False,False
BL-15-K21644,True,False,False
BL-15-K24415,True,False,False
BL-15-K26555,True,False,False
BL-15-K29230,True,False,False
BL-15-K29294,True,False,False
BL-15-K29863,True,False,False
BL-15-K31982,True,False,False
BL-15-K32581,True,False,False
BL-15-K33276,True,False,False
BL-15-K34412,True,False,False
BL-15-K35725,True,False,False
BL-15-K36000,True,False,False
BL-15-K37411,True,False,False
BL-15-K41148,True,False,False
BL-15-M02341,True,False,False
BL-15-M03068,True,False,False
BL-15-M03460,True,False,False
BL-15-M07689,True,False,False
BL-15-M07853,True,False,False
BL-15-M09049,True,False,False
BL-15-M09699,True,False,False
BL-15-M12319,True,False,False
BL-15-M13178,True,False,False
BL-15-M15659,True,False,False
BL-15-M15919,True,False,False
BL-15-M16437,True,False,False
BL-15-M16648,True,False,False
BL-15-M18400,True,False,False
BL-15-M26238,True,False,False
BL-15-M27178,True,False,False
BL-15-M27764,True,False,False
BL-15-M33270,True,False,False
BL-15-M40494,True,False,False
BL-15-M41238,True,False,False
BL-15-M41319,True,False,False
BL-15-M43898,True,False,False
BL-15-M48549,True,False,False
BL-15-N00242,True,False,False
BL-15-N00534,True,False,False
BL-15-N07845,True,False,False
BL-15-N10450,True,False,False
BL-15-N14289,True,False,False
BL-15-N15523,True,False,False
BL-15-N16382,True,False,False
BL-15-N17452,True,False,False
BL-15-N24644,True,False,False
BL-15-N27577,True,False,False
BL-15-N29879,True,False,False
BL-15-N31706,True,False,False
BL-15-N33863,True,False,False
BL-15-N34965,True,False,False
BL-15-N39601,True,False,False
BL-15-N41799,True,False,False
BL-15-N42562,True,False,False
BL-15-N43566,True,False,False
BL-15-N45723,True,False,False
BL-15-N45804,True,False,False
BL-15-N46224,True,False,False
BL-15-N46273,True,False,False
BL-15-N48575,True,False,False
BL-15-R03282,True,False,False
BL-15-R04026,True,False,False
BL-15-R05032,True,False,False
BL-15-R06134,True,False,False
BL-15-R07042,True,False,False
BL-15-R09636,True,False,False
BL-15-R10977,True,False,False
BL-15-R13733,True,False,False
BL-15-R21556,True,False,False
BL-15-R22334,True,False,False
BL-15-R23728,True,False,False
BL-15-R33271,True,False,False
BL-15-R34584,True,False,False
BL-15-R36643,True,False,False
BL-15-R37225,True,False,False
BL-15-R42213,True,False,False
BL-15-R42245,True,False,False
BL-15-R43136,True,False,False
BL-15-R43153,True,False,False
BL-15-R45894,True,False,False
BL-15-R48567,True,False,False
BL-15-T00535,True,False,False
BL-15-T06467,True,False,False
BL-15-T09449,True,False,False
BL-15-T12054,True,False,False
BL-15-T13953,True,False,False
BL-15-T17777,True,False,False
BL-15-T18523,True,False,False
BL-15-T18702,True,False,False
BL-15-T22034,True,False,False
BL-15-T24110,True,False,False
BL-15-T24191,True,False,False
BL-15-T29151,True,False,False
BL-15-T36846,True,False,False
BL-15-T41054,True,False,False
BL-15-T41444,True,False,False
BL-15-T45805,True,False,False
BL-15-T45822,True,False,False
BL-15-T48122,True,False,False
BL-15-T48821,True,False,False
BL-15-W06883,True,False,False
BL-15-W07482,True,False,False
BL-15-W08422,True,False,False
BL-15-W11253,True,False,False
BL-15-W14220,True,False,False
BL-15-W16228,True,False,False
BL-15-W16343,True,False,False
BL-15-W19195,True,False,False
BL-15-W20325,True,False,False
BL-15-W22448,True,False,False
BL-15-W23729,True,False,False
BL-15-W27165,True,False,False
BL-15-W27587,True,False,False
BL-15-W27881,True,False,False
BL-15-W28414,True,False,False
BL-15-W32965,True,False,False
BL-15-W34001,True,False,False
BL-15-W34310,True,False,False
BL-15-W35412,True,False,False
BL-15-W37731,True,False,False
BL-15-W42587,True,False,False
BL-15-W43382,True,False,False
BL-15-W46607,True,False,False
BL-15-W47319,True,False,False
BL-15-W48406,True,False,False
BL-15-X00715,True,False,False
BL-15-X03908,True,False,False
BL-15-X06956,True,False,False
BL-15-X07930,True,False,False
BL-15-X09727,True,False,False
BL-15-X15753,True,False,False
BL-15-X15996,True,False,False
BL-15-X16531,True,False,False
BL-15-X16774,True,False,False
BL-15-X17454,True,False,False
BL-15-X19513,True,False,False
BL-15-X23642,True,False,False
BL-15-X24094,True,False,False
BL-15-X27027,True,False,False
BL-15-X27238,True,False,False
BL-15-X28406,True,False,False
BL-15-X40490,True,False,False
BL-15-X44120,True,False,False
BL-15-X44216,True,False,False
BL-15-X44412,True,False,False
BL-15-X45806,True,False,False
BL-15-X48415,True,False,False
BL-16-A00931,True,False,False
BL-16-A01918,True,False,False
BL-16-A02063,True,False,False
BL-16-A06473,True,False,False
BL-16-A09050,True,False,False
BL-16-A11753,True,False,False
BL-16-A16939,True,False,False
BL-16-A17133,True,False,False
BL-16-A17555,True,False,False
BL-16-A17621,True,False,False
BL-16-A17636,True,False,False
BL-16-A18740,True,False,False
BL-16-A18966,True,False,False
BL-16-A19678,True,False,False
BL-16-A22217,True,False,False
BL-16-A22592,True,False,False
BL-16-A22639,True,False,False
BL-16-A23370,True,False,False
BL-16-A24293,True,False,False
BL-16-A24747,True,False,False
BL-16-A24943,True,False,False
BL-16-A27989,True,False,False
BL-16-A31289,True,False,False
BL-16-A36006,True,False,False
BL-16-A36023,True,False,False
BL-16-A36820,True,False,False
BL-16-A39640,True,False,False
BL-16-A40589,True,False,False
BL-16-A44918,True,False,False
BL-16-A47056,True,False,False
BL-16-A48857,True,False,False
BL-16-A50245,True,False,False
BL-16-A50961,True,False,False
BL-16-D00533,True,False,False
BL-16-D01733,True,False,False
BL-16-D02300,True,False,False
BL-16-D04180,True,False,False
BL-16-D04926,True,False,False
BL-16-D06320,True,False,False
BL-16-D07520,True,False,False
BL-16-D08198,True,False,False
BL-16-D08637,True,False,False
BL-16-D09057,True,False,False
BL-16-D10660,True,False,False
BL-16-D17370,True,False,False
BL-16-D18212,True,False,False
BL-16-D18536,True,False,False
BL-16-D20069,True,False,False
BL-16-D21676,True,False,False
BL-16-D21919,True,False,False
BL-16-D22032,True,False,False
BL-16-D28955,True,False,False
BL-16-D29049,True,False,False
BL-16-D29181,True,False,False
BL-16-D32076,True,False,False
BL-16-D32645,True,False,False
BL-16-D33082,True,False,False
BL-16-D33651,True,False,False
BL-16-D36260,True,False,False
BL-16-D37085,True,False,False
BL-16-D37328,True,False,False
BL-16-D39794,True,False,False
BL-16-D40306,True,False,False
BL-16-D41506,True,False,False
BL-16-D44701,True,False,False
BL-16-D46255,True,False,False
BL-16-D47050,True,False,False
BL-16-D47065,True,False,False
BL-16-D47617,True,False,False
BL-16-D47845,True,False,False
BL-16-D49026,True,False,False
BL-16-E03995,True,False,False
BL-16-E09051,True,False,False
BL-16-E11769,True,False,False
BL-16-E12336,True,False,False
BL-16-E14444,True,False,False
BL-16-E18741,True,False,False
BL-16-E21148,True,False,False
BL-16-E25104,True,False,False
BL-16-E27261,True,False,False
BL-16-E32328,True,False,False
BL-16-E35474,True,False,False
BL-16-E36853,True,False,False
BL-16-E37565,True,False,False
BL-16-E40298,True,False,False
BL-16-E40315,True,False,False
BL-16-E42423,True,False,False
BL-16-E42683,True,False,False
BL-16-E42813,True,False,False
BL-16-E45518,True,False,False
BL-16-E46409,True,False,False
BL-16-E47204,True,False,False
BL-16-E47253,True,False,False
BL-16-E47268,True,False,False
BL-16-E47854,True,False,False
BL-16-E48679,True,False,False
BL-16-E50489,True,False,False
BL-16-F01879,True,False,False
BL-16-F02917,True,False,False
BL-16-F04748,True,False,False
BL-16-F06581,True,False,False
BL-16-F11535,True,False,False
BL-16-F12409,True,False,False
BL-16-F12718,True,False,False
BL-16-F13253,True,False,False
BL-16-F13805,True,False,False
BL-16-F14112,True,False,False
BL-16-F15572,True,False,False
BL-16-F18456,True,False,False
BL-16-F22163,True,False,False
BL-16-F22423,True,False,False
BL-16-F22960,True,False,False
BL-16-F25471,True,False,False
BL-16-F25665,True,False,False
BL-16-F25876,True,False,False
BL-16-F31480,True,False,False
BL-16-F34445,True,False,False
BL-16-F36649,True,False,False
BL-16-F37086,True,False,False
BL-16-F38970,True,False,False
BL-16-F41507,True,False,False
BL-16-F41767,True,False,False
BL-16-F41784,True,False,False
BL-16-F44457,True,False,False
BL-16-F44702,True,False,False
BL-16-F45512,True,False,False
BL-16-F45610,True,False,False
BL-16-F45949,True,False,False
BL-16-F47846,True,False,False
BL-16-F48558,True,False,False
BL-16-F48852,True,False,False
BL-16-F50483,True,False,False
BL-16-F52184,True,False,False
BL-16-G07317,True,False,False
BL-16-G08419,True,False,False
BL-16-G13049,True,False,False
BL-16-G16504,True,False,False
BL-16-G16781,True,False,False
BL-16-G17103,True,False,False
BL-16-G18188,True,False,False
BL-16-G22172,True,False,False
BL-16-G27699,True,False,False
BL-16-G31438,True,False,False
BL-16-G31845,True,False,False
BL-16-G33580,True,False,False
BL-16-G34047,True,False,False
BL-16-G34209,True,False,False
BL-16-G34388,True,False,False
BL-16-G34599,True,False,False
BL-16-G35458,True,False,False
BL-16-G37291,True,False,False
BL-16-G38489,True,False,False
BL-16-G39593,True,False,False
BL-16-G41629,True,False,False
BL-16-G41759,True,False,False
BL-16-G44223,True,False,False
BL-16-G44694,True,False,False
BL-16-G44824,True,False,False
BL-16-G48665,True,False,False
BL-16-G48859,True,False,False
BL-16-G49980,True,False,False
BL-16-G50492,True,False,False
BL-16-J00876,True,False,False
BL-16-J01053,True,False,False
BL-16-J01590,True,False,False
BL-16-J03242,True,False,False
BL-16-J10532,True,False,False
BL-16-J11001,True,False,False
BL-16-J11536,True,False,False
BL-16-J11779,True,False,False
BL-16-J14763,True,False,False
BL-16-J15198,True,False,False
BL-16-J17127,True,False,False
BL-16-J18734,True,False,False
BL-16-J19137,True,False,False
BL-16-J19495,True,False,False
BL-16-J22034,True,False,False
BL-16-J23462,True,False,False
BL-16-J23575,True,False,False
BL-16-J23786,True,False,False
BL-16-J24434,True,False,False
BL-16-J24498,True,False,False
BL-16-J29021,True,False,False
BL-16-J29426,True,False,False
BL-16-J32502,True,False,False
BL-16-J32924,True,False,False
BL-16-J33847,True,False,False
BL-16-J34610,True,False,False
BL-16-J38012,True,False,False
BL-16-J39796,True,False,False
BL-16-J42139,True,False,False
BL-16-J44070,True,False,False
BL-16-J44460,True,False,False
BL-16-J48333,True,False,False
BL-16-K01062,True,False,False
BL-16-K04027,True,False,False
BL-16-K10409,True,False,False
BL-16-K11057,True,False,False
BL-16-K11270,True,False,False
BL-16-K12956,True,False,False
BL-16-K13101,True,False,False
BL-16-K13280,True,False,False
BL-16-K17852,True,False,False
BL-16-K18206,True,False,False
BL-16-K20683,True,False,False
BL-16-K21900,True,False,False
BL-16-K23520,True,False,False
BL-16-K24524,True,False,False
BL-16-K24931,True,False,False
BL-16-K27749,True,False,False
BL-16-K28821,True,False,False
BL-16-K33093,True,False,False
BL-16-K35704,True,False,False
BL-16-K39155,True,False,False
BL-16-K39496,True,False,False
BL-16-K40091,True,False,False
BL-16-K41681,True,False,False
BL-16-K43836,True,False,False
BL-16-K45959,True,False,False
BL-16-K46624,True,False,False
BL-16-K47206,True,False,False
BL-16-K48521,True,False,False
BL-16-K50233,True,False,False
BL-16-M01152,True,False,False
BL-16-M02531,True,False,False
BL-16-M02742,True,False,False
BL-16-M06762,True,False,False
BL-16-M07393,True,False,False
BL-16-M09646,True,False,False
BL-16-M10322,True,False,False
BL-16-M10663,True,False,False
BL-16-M11294,True,False,False
BL-16-M14796,True,False,False
BL-16-M16026,True,False,False
BL-16-M22035,True,False,False
BL-16-M22165,True,False,False
BL-16-M24712,True,False,False
BL-16-M30638,True,False,False
BL-16-M33409,True,False,False
BL-16-M36668,True,False,False
BL-16-M39586,True,False,False
BL-16-M46356,True,False,False
BL-16-M47053,True,False,False
BL-16-M48854,True,False,False
BL-16-N00042,True,False,False
BL-16-N01372,True,False,False
BL-16-N04354,True,False,False
BL-16-N06006,True,False,False
BL-16-N07888,True,False,False
BL-16-N10248,True,False,False
BL-16-N10493,True,False,False
BL-16-N10883,True,False,False
BL-16-N13102,True,False,False
BL-16-N14349,True,False,False
BL-16-N24297,True,False,False
